na_item,unit,geo\time	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 
B1GQ,CP_MEUR,BG	32444.5 	37217.7 	37400.2 	38044.1 	41252.6 	42033.5 	41885.4 	42876.1 	45675.8 	48620.5 	52310.0 	56086.9 
B1GQ,CP_MEUR,CH	350695.8 	378248.1 	390207.3 	441086.0 	504020.8 	519716.3 	518379.5 	534923.4 	612658.5 	606773.1 	602268.6 p	597008.7 p
B1GQ,CP_MEUR,CY	17591.0 	19009.6 	18675.5 	19410.0 	19803.0 	19440.8 	17995.0 	17408.5 	17826.9 	18872.9 	20039.7 	21137.8 p
B1GQ,CP_MEUR,CZ	138302.9 	161313.1 	148682.0 	156718.2 	164040.5 	161434.3 	157741.6 	156660.0 	168473.3 	176370.1 	191721.8 	207772.4 
B1GQ,CP_MEUR,DE	2499550.0 	2546490.0 	2445730.0 	2564400.0 	2693560.0 	2745310.0 	2811350.0 	2927430.0 	3030070.0 	3134100.0 	3244990.0 	3344370.0 
B1GQ,CP_MEUR,DK	233383.3 	241613.5 	231278.0 	243165.4 	247879.9 	254578.0 	258742.7 	265757.0 	273017.6 	283109.7 	292408.0 	301340.9 
B1GQ,CP_MEUR,EA	9242760.0 	9483133.2 	9215029.0 	9474062.8 	9747755.1 	9781526.3 	9876002.7 	10131359.0 	10524438.1 	10816964.5 	11200923.9 	11561187.9 
B1GQ,CP_MEUR,EA19	9390564.0 	9622963.1 	9274983.0 	9534698.9 	9799207.6 	9836956.2 	9933833.1 	10167903.8 	10524438.1 	10816964.5 	11200923.9 	11561187.9 
B1GQ,CP_MEUR,EE	16398.7 	16638.3 	14211.8 	14863.1 	16829.2 	18050.7 	19033.4 	20180.0 	20782.2 	21693.6 	23775.8 	26035.9 
B1GQ,CP_MEUR,EL	232694.6 	241990.4 	237534.2 	226031.4 	207028.9 p	191203.9 p	180654.3 p	178656.5 p	177258.4 p	176487.9 p	180217.6 p	184713.6 p
B1GQ,CP_MEUR,ES	1075539.0 	1109541.0 	1069323.0 	1072709.0 	1063763.0 	1031099.0 	1020348.0 	1032158.0 	1077590.0 	1113840.0 	1161878.0 p	1202193.0 p
B1GQ,CP_MEUR,EU28	13003688.5 	13082102.5 	12324698.9 	12845663.4 	13235225.0 	13501734.0 	13615090.5 	14091451.2 	14854106.4 	14984271.9 	15410259.5 	15898311.6 
B1GQ,CP_MEUR,FI	187072.0 	194265.0 	181747.0 	188143.0 	197998.0 	201037.0 	204321.0 	206897.0 	211516.0 	217484.0 	225785.0 	234453.0 
B1GQ,CP_MEUR,FR	1941360.0 	1992380.0 	1936422.0 	1995289.0 	2058369.0 	2088804.0 	2117189.0 	2149765.0 	2198432.0 	2234129.0 	2295063.0 p	2353090.0 p
B1GQ,CP_MEUR,HR	43991.4 	47998.3 	45064.1 	45111.8 	44793.0 	43940.8 	43703.2 	43401.3 	44616.4 	46615.5 	49094.4 	51579.1 p
B1GQ,CP_MEUR,HU	102253.3 	108215.8 	94382.6 	98986.8 	101552.7 	99733.6 	102032.3 	105905.9 	112210.3 	115259.2 	125603.1 	133782.2 
B1GQ,CP_MEUR,IE	197202.0 	187769.1 	170100.5 	167732.3 	170827.0 	175115.7 	179661.3 	194818.2 	262833.4 	271683.6 	297130.8 	324038.2 
B1GQ,CP_MEUR,IS	15726.8 	10948.5 	9426.4 	10332.4 	10889.0 	11458.5 	12064.1 	13389.9 	15679.8 	18646.1 	21677.2 	21987.7 
B1GQ,CP_MEUR,IT	1614839.8 	1637699.4 	1577255.9 	1611279.4 	1648755.8 	1624358.7 	1612751.3 	1627405.6 	1655355.0 	1695590.1 	1736601.8 	1765421.4 
B1GQ,CP_MEUR,LI	: 	: 	: 	: 	: 	: 	4812.4 	5021.7 	5649.1 	5617.2 p	5717.4 e	: 
B1GQ,CP_MEUR,LT	29040.7 	32696.3 	26934.8 	27955.3 b	31233.7 	33331.7 	34985.0 	36544.8 	37321.8 	38893.4 	42269.4 	45264.4 
B1GQ,CP_MEUR,LU	37178.9 	38128.6 	36976.5 	40177.8 	43164.6 	44112.1 	46499.6 	49824.5 	52065.8 	54867.2 	56814.2 	60053.1 
B1GQ,CP_MEUR,LV	22676.8 	24397.2 	18807.4 	17817.7 	20218.7 	22098.2 	22845.4 	23654.2 	24426.0 	25072.6 	26797.8 	29151.0 
B1GQ,CP_MEUR,ME	2689.1 	3103.3 	2993.9 	3125.1 	3264.8 	3181.5 	3362.5 	3457.9 	3654.5 	3954.2 	4299.1 	4663.1 
B1GQ,CP_MEUR,MK	6094.5 	6772.1 	6766.5 	7108.3 	7544.2 	7584.8 	8149.6 	8562.0 	9072.3 	9656.5 	10038.3 	10698.1 p
